TITLE,ARTIST,ID,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Don't Change 4 Me,Matthew Moon,04AYEtzUDsaUFwpxw9tPrP,0.449,0.608,-3.249,0.0468,0.00105,0.0,0.359,0.498,149.872
Don't Fence Me In,Cole Porter,7bTlID6vzqECC5Vq61mysd,0.736,0.111,-23.458,0.056,0.635,0.772,0.103,0.874,126.467
Don't Mind,Mary J. Blige,2zfPO7DPnJ2Sxp3pniyU4z,0.608,0.812,-4.632,0.053,0.0068,0.000982,0.142,0.268,173.999
Don't Stop (Color on the Walls),Foster the People,4HRa9ZWcmZ8JD7UySPu0wT,0.611,0.948,-3.751,0.0753,0.00183,0.0995,0.0969,0.79,133.004
Don't Stop Me Now,Queen,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,-5.277,0.16,0.0472,0.000191,0.77,0.601,156.271
Don't Upset The Rhythm (Go Baby Go),Noisettes,5c5SVPVd9duygPOwO9n7e6,0.689,0.875,-3.307,0.0355,0.00923,0.00348,0.163,0.655,120.252
Don't You (Forget About Me),Simple Minds,3fH4KjXFYMmljxrcGrbPj9,0.66,0.816,-6.61,0.0299,0.168,0.0181,0.0608,0.678,111.346
Don't You Know What The Night Can Do?,Steve Winwood,4zGkOYqVX78eobhf2hTls4,0.54,0.762,-6.538,0.0285,0.14,0.000113,0.192,0.635,172.241
Donna,Ritchie Valens,0VE4ayVlGs5DBoqOdgJ0Zv,0.472,0.225,-12.581,0.0263,0.864,0.0,0.111,0.29,100.299
Down,Marian Hill,5eCkuGPZNl4mISFNPgr3Dd,0.678,0.357,-14.712,0.128,0.675,0.00569,0.124,0.0661,113.301
Down Down,Status Quo,5vVZaiK2mIL9WE1GWikOE6,0.47,0.899,-7.127,0.0333,0.113,6.89e-05,0.287,0.213,89.506
Dream On,Aerosmith,5MxNLUsfh7uzROypsoO5qe,0.307,0.433,-10.057,0.029,0.388,9.08e-05,0.332,0.224,160.9
Dreams,The Cranberries,4JGKZS7h4Qa16gOU3oNETV,0.551,0.643,-13.091,0.0353,0.00313,0.00385,0.421,0.514,128.661
Drew Barrymore,SZA,06u5LrUpbosQlQ1QJFhPpG,0.577,0.523,-5.538,0.0429,0.491,0.0,0.147,0.29,134.93
Drinkee,Sofi Tukker,0WE8YTl6GAVHnkfvMfci98,0.773,0.663,-8.101,0.0496,0.0557,0.61,0.229,0.324,115.002
Drinking In L.A.,Bran Van 3000,4WEaJQLlhlkOU7YJDLhn7x,0.568,0.707,-5.672,0.0582,0.0608,0.0,0.0673,0.663,171.968
Driving Home for Christmas,Chris Rea,3Z3QhZAZpqwZa1phsbQ3JZ,0.497,0.661,-9.047,0.0361,0.328,0.000317,0.211,0.894,180.225
Drop It Like It's Hot,Snoop Dogg,2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,-3.872,0.219,0.19,0.0,0.101,0.662,91.979
Dueling Banjos,Eric Weissberg and Steve Mandell,3iWC6AAzEB0Yh3m6Airvym,0.417,0.484,-8.781,0.079,0.409,0.959,0.0663,0.501,149.785
